text,label
"إن المشروع يتناول على الأخص مسألة، يتوجب على المثقفين أن يبحثوا فيها، طالما أن الفرصة قد سنحت لهم بذلك، أعني أن توضع للمرة الأولى كل الالتباسات الفولكلورية والسوسيولوجية التي تحيط بمفهوم (الثقافة). إن هذا المفهوم يكون في الواقع المقياس الصحيح للمستوى الحضاري في بلد معين، وللطاقة الكامنة في المجتمع، أكثر مما يقدمه مقياس الآلات وعددها.
لم تكن ألمانيا تملك سنة ١٩٤٥ الآلات ولا الماركاتا ولا الدولارات. ولا حتى السيادة القومية. لم تكن تملك سوى رأسمال واحد، لا يمكن تدميره. الحقيقة أنه لم يكن للقنابل الفوسفيرية ولا للدبابات القدرة على أن تدمر ثقافة ألمانيا، وأنا لا أقول (علمها (ولا (تقنيتها) وهما التباسان آخران يشوشان كذلك معنى الثقافة، لأنهما يضعان هذه الأخيرة تحت سلطة المدرسة أو المصنع.
ذلك أن من أعاد بناء ألمانيا بعد سنة ١٩٤٥ ليس العالم ولا التقني، فضلا عن أن معظم العلماء والتقنيين مثل (فون براوق) كان قد استولى عليهم الأميركيون أو السوفيات وعدوهم غنائم حرب. إن من أعاد بناء ألمانيا هو الروح الألمانية، روح الراعي والفلاح والعامل والحمال والموظف والصيدلي والطبيب والفنان والأستاذ.",1
"وبكلمة واحدة، إن الثقافة الألمانية- دون التباس، ودون تضييق اجتماعي أو فكري لمعناها- هي التي أعادت بناء بلد (غوته) و (بسمارك).
إن رجل (المعجزة الألمانية) بعد الحرب ليس (إيرهارد) كما تدعي الصحف والإعلام. فقبل الحرب وقبل (إيرهارد) هناك (شاخت) وهناك (معجزة ألمانية)، وهذه الأخيرة ستتكرر طالما بقي هناك ثقافة ألمانية.
أضف إلى ذلك أن حدود (المعجزة) هي حدود ثقافية لا يمكن للمعجزة أن توجد خارجها. لقد اتضح لنا هذا الأمر مع الدكتور (شاخت)، فهو لم يستطع البتة أن يكرر هذه المعجزة التي أنتجتها- ولا تزال تنتجها- بلاده، في بعض الدول الآسيوية التي استقلت حديثا، والتي استدعته لهذا الصدد، لقد بذل جهدا كبيرا، وشمر عن ساعديه، وضرب بعصاه السحرية، ولكن شيئا لم يخرج من علبة هذا الساحر، اللهم سوى بعض الخيبة.",1
"وإذا كانت بكين وموسكو في إطار اقتصادي وسياسيها معين، تستفيدان من هذا القانون في الأسواق كما تستفيد سائر دول المعسكر الصناعي، فذلك ربح يعود إلى الروابط العامة التي ترتبطان بها نفسهما من خلال اقتصاد العرض والطلب.
ذلك أن تلك الدول ملزمة في الأسواق بتأمين وجود مزدوح، من حيث هي بلاد تستورد المواد الأولية مثل أميركا، ومن حيث هي بلاد تصدر هذه المواد الأولية محولة مثل ألمانيا إذا أردت. ويستقر إذن ميزانهم الاقتصادي لعلاقاتهم مع العالم الثالث من جهة ومع العالم المتطور من جهة أخرى، لدرجة أن كل تغيير أحادي الجانب، يطرأ من جهتهم على علاقاتهم مع العالم الثالث، يخل بالتوازن، ويسيء إلى علاقاتهم التنافسية بعضهم مع البعض الآخر.",1
"وبكلمة أخرى، لا يمكن أن يأتي التغيير من (الطلب) الذي ليس له أي فائدة في ذلك التغيير، والذي ليس له- في آخر الأمر- أي سلطة على التغيير في السياق الاقتصادي والسياسي الحالي. لا يمكن للتغيير إلا أن يأتي من (العرض)، أولا، لأن من صالحه أن تتغير تلك العلاقات التقليدية، ولأنه يملك المقدرة على فعل هذا التغيير بواسطة تنظيم ملائم لإنتاج المواد الأولية وطرحها في الأسواق.
ليس المقصود أن نذهب إلى (نيودلهي) مزودين بأمنيات حارة، بل بقرارات ناضجة فكريا، وجاهزة للتنفيذ داخل حدود الدول المعنية بالأمر، وذلك لكي نحصل في الخارج على أقصى مستوى من التأثير في الأسواق.",1
"تأملات على قبر دينيه في بوسعادة
كان ذلك على قبر ""دينيه""، البارحة، حينما عادت بي تلك الفكرة القائمة إلى الذاكرة. لقد وجدتها، إلى ربع قرن مضى، على شفاه امرأة عجوز من تبسة، كانت تشعر لثقل أيامها الموحشة.
فقد ضربت عائلتها بغير ما شفقة، لأسباب لم تبح بها تلك العجوز؛ لعله العنفوان أو التجمل. كل ما عرفته أنه لم يكن من الممكن الحديث عن نجدتها من تلك التعاسة الإنسانية.
حقا فإنه حينما يقرر الاستعمار النيل من شخص ما، فإنه يتركه خيالا ووهما دون حياة، والويل حينئذ لمن يأتي إليه مسعفا أو مخففا من بلوائه، الويل لمن يمد إليه يد إخاء تخفف من غلواء بؤسه.
في بداية هذا القرن، عاش الشعب الجزائري أحلك أيامه. فبعد الانتفاضات الأخيرة لمقاومته البطولية، لم يعد وجوده سوى وهم وخيال، يأخذ طورا شكل الخضوع الكامل (الحتمية كما سيقول ممتهنوه ومذلوه)، وطورا آخر يأخذ شكل الإغراق في الأسطورة.",1
وهكذا بمنهاج عبد القاهر الذي أجملت أهم عناصره آنفا، وبطريقته التعليمية الواضحة، وكذلك بتطبيق الزمخشري لآراء عبد القاهر في تفسيره «الكشاف» وبالإضافات الجديدة التي استكمل بها قواعده- أقول بكل ذلك استطاع الرجلان أن يضعا ويكملا قواعد علم المعاني وعلم البيان، وكل ما هناك أنّه بقي من يستقصي هذه القواعد عندهما وينظمها في كتاب يجمع متفرقها ويضم منثورها.,1
"وشهرة السكاكي العلمية ترجع في الواقع إلى هذا القسم من كتابه الذي أعطى فيه للمعاني والبيان والفصاحة والبلاغة والبديع الصيغة النهائية التي عكف عليها العلماء من بعده يدرسونها ويشرحونها مرارا وتكرارا. وما أعطاه لعلوم البلاغة ليس ابتكارا خالصا له، وإنّما هو تلخيص دقيق يجمع بين أفكاره الخاصة وأفكار البلاغيين من قبله.

وقد صاغ ذلك كله صياغة مضبوطة محكمة بقدرته المنطقية في التعليل والتجريد والتعريف والتقسيم والتفريع والتشعيب. وأهم الكتب التي اعتمد عليها في النهوض بهذا العمل كتاب «نهاية الإيجاز في دراية الإعجاز» للفخر الرازي المتوفى سنة ٦٠٦ للهجرة، وكتابا «دلائل الإعجاز» و «أسرار البلاغة» لعبد القاهر الجرجاني، وكتاب «الكشاف» للزمخشري.",1
"وعن أحوال التشبيه من حيث القرب والغرابة، والقبول والرفض، يستوحي السكاكي في ذلك رأي عبد القاهر، فيقول: إن إدراك الشيء مجملا أسهل من إدراكه مفصلا، وإنّ حضور ما يتردد على الحس أقرب من حضور ما لا يتردد عليه، وإنّ الشيء مع ما يناسبه أقرب حضورا منه مع ما لا يناسبه، وإنّ استحضار الأمر الواحد

أيسر من استحضار غير الواحد، وإنّ ميل النفس إلى الحسيات أتم من ميلها إلى العقليات، وإنّ النفس لما تعرف أقبل منها لما لا تعرف، وإنّ الجديد المستطرف عندها ألذ من المعاد المكرر.

وعلى ضوء هذه الأصول يقول: إنّ من أسباب قرب التشبيه أن يكون وجهه أمرا واحدا، أو يكون المشبه به قريبا في الصورة من المشبه، أو يكون حاضرا في الخيال بجهة من الجهات.

أمّا غرابته فمن أسبابها أن يكون وجه الشبه مركبا، أو يكون المشبه به بعيد الشبه عن المشبه، أو يكون وهميا أو مركبا عقليا. أمّا التشبيه المقبول فالأصل فيه أن يكون صحيحا، وألّا يكون مبتذلا.",1
"وكذلك يعرض السكاكي لصور التشبيه البليغ، ويتابع عبد القاهر في إدخال صور التجريد المختلفة في التشبيه كقولك عن صديق أنست بحديثه «وجدت في حديثه نسمة عطرة» فقد جردت من حديث الصديق سمة متصفة بالعطر كأنّها غيره، مع أنّ حديث الصديق هو هي. وكقول الشاعر:

أعانق غصن البان من لين قدها … وأجني جنى الورد من وجناتها

فالشاعر هنا جرّد من قدّ الحبيبة غصن بان لين، ومن وجنتيها وردا. فهو بدل أن يعبر بالتشبيه الصريح فيقول: قدّ الحبيبة كغصن البان لينا، ووجناتها كالورد، عبّر عنه بأسلوب التجريد الذي عدّه السكاكي صورة من صور التشبيه. وأخيرا يختم السكاكي كلامه عن التشبيه ذاكرا أنّه قد يشبّه الضد بضده على سبيل التهكم، كتشبيه الجبان بالأسد، والبخيل بحاتم مثلا.",1
"‌بلاغة المطابقة:
وبلاغة المطابقة لا يكفي فيها الإتيان بمجرد لفظين متضادين أو متقابلين معنى، كقول الشاعر:
ولقد نزلت من الملوك بماجد … فقر الرجال إليه مفتاح الغنى
فمثل هذه المطابقة لا طائل من ورائها لأن مطابقة الضد بالضد على هذا النحو أمر سهل. وإنما جمال المطابقة في
مثل هذه الحالة أن ترشح بنوع من أنواع البديع يشاركها في البهجة والرونق، كقوله تعالى: تُولِجُ اللَّيْلَ فِي النَّهارِ وَتُولِجُ النَّهارَ فِي اللَّيْلِ وَتُخْرِجُ الْحَيَّ مِنَ الْمَيِّتِ وَتُخْرِجُ الْمَيِّتَ مِنَ الْحَيِّ وَتَرْزُقُ مَنْ تَشاءُ بِغَيْرِ حِسابٍ. ففي العطف بقوله تعالى:
وَتَرْزُقُ مَنْ تَشاءُ بِغَيْرِ حِسابٍ دلالة على أن من قدر على تلك الأفعالالعظيمة قدر على أن يرزق بغير حساب من شاء من عباده. وهذه مبالغة التكميل المشحونة بقدرة الله. فهنا اجتمعت المطابقة الحقيقية ومبالغة التكميل.",1
